carimbo,pol_comf,conspol_prof_nota,conspol_prof_ofens,conspol_prof_errad,conspol_col_ofens,conspol_redes,conspol_cod_cond,conspol_vidsoci,conspol_vidprofi,conspol_outro,rac_comf,consrac_prof_nota,consrac_prof_ofens,consrac_prof_errad,consrac_col_ofens,consrac_redes,consrac_cod_cond,consrac_vidsoci,consrac_vidprofi,consrac_outro,sex_comf,conssex_prof_nota,conssex_prof_ofens,conssex_prof_errad,conssex_col_ofens,conssex_redes,conssex_cod_cond,conssex_vidsoci,conssex_vidprofi,conssex_outro,gen_comf,consgen_prof_nota,consgen_prof_ofens,consgen_prof_errad,consgen_col_ofens,consgen_redes,consgen_cod_cond,consgen_vidsoci,consgen_vidprofi,consgen_outro,rel_comf,consrel_prof_nota,consrel_prof_ofens,consrel_prof_errad,consrel_col_ofens,consrel_redes,consrel_cod_cond,consrel_vidsoci,consrel_vidprofi,consrel_outro,adm_comf,consadm_prof_nota,consadm_prof_ofens,consadm_prof_errad,consadm_col_ofens,consadm_redes,consadm_cod_cond,consadm_vidsoci,consadm_vidprofi,consadm_outro,mat_comf,consmat_prof_nota,consmat_prof_ofens,consmat_prof_errad,consmat_col_ofens,consmat_redes,consmat_cod_cond,consmat_vidsoci,consmat_vidprofi,consmat_outro,percepfem,percepmasc,percepesq,percepdir,percepbran,perceppre,percepasi,percepric,perceppob,percephomo,percephet,perceptran,perceprel,percepate,percepoutro,tratgen,tratrac,tratpol,tratrel,tratsex,tratclas,compalunos,compprofs,compadm,incentidivers,idade,nivel,academic,area,sexo,trasn,orisex,class,raca,rel,denom_pol,espectro_econ,espectro_cult,uf,cidade
2021/11/10 8:46:12 AM GMT-5,Relutante,Moderadamente preocupado,Muito preocupado,Muito preocupado,Um pouco preocupado,Muito preocupado,Um pouco preocupado,Muito preocupado,Moderadamente preocupado,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Relutante,Um pouco preocupado,Moderadamente preocupado,Muito preocupado,Moderadamente preocupado,Muito preocupado,Um pouco preocupado,Moderadamente preocupado,Moderadamente preocupado,,Não sei responder,Mais confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Não sei responder,Mais confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Não sei responder,Mais confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Mais confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,,Nunca,Nunca,Nunca,Nunca,Nunca,"Uma vez por ano, ou menos",Maioria à direita,Maioria à direita,Não sei responder,2. Raramente,28.0,Superior - final da graduação (últimos dois semestres),Sim,Ciências da Saúde,Feminino,Não,Heterosexual,"De dois a quatro salários mínimos (R$  2.200,01 a R$ 4.400,00).",Branco / Caucasiano,Cristão: Católico,Progressista,Ultraesquerda,Ultraesquerda,PR,Londrina
2021/11/10 8:52:17 AM GMT-5,Relutante,Nem um pouco preocupado,Um pouco preocupado,Nem um pouco preocupado,Moderadamente preocupado,Nem um pouco preocupado,Muito preocupado,Nem um pouco preocupado,Nem um pouco preocupado,"Pelos posicionamentos que a Universidade tem, ausência de políticas de diversidade e propagação de palestras de conteúdo de ódio bem como notas públicas contra a diversidade e a liberdade de expressao",Relutante,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Moderadamente preocupado,Nem um pouco preocupado,Muito preocupado,Nem um pouco preocupado,Nem um pouco preocupado,"A preocupação gira em torno da Universidade, não por parte dos professores em sala de aula mas sim por parte da reitoria e da política da unifil ",Relutante,Um pouco preocupado,Um pouco preocupado,Um pouco preocupado,Um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,"Preocupação por parte da unifil, já que a mesma tem posicionamentos contra a diversidade e fomenta discursos políticos na cidade de Londrina contra a criação de políticas de bem estar ao público lgbtqia+",Relutante,Nem um pouco preocupado,Um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,"Por parte da reitoria e administração a unifil, que favorece discursos contra a diversidade e a identidade de gênero ",Relutante,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Menos confortáveis que os alunos em geral,Mais confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Tão confortáveis quanto os alunos em geral,Tão confortáveis quanto os alunos em geral,Menos confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Tão confortáveis quanto os alunos em geral,Menos confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Tão confortáveis quanto os alunos em geral,Menos confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,,Poucas vezes por ano,Poucas vezes por ano,Mais ou menos uma vez por mês,Nunca,Poucas vezes por ano,Nunca,Maioria à esquerda,Maioria à direita,Maioria à direita,1. Nunca,24.0,Superior - meio da graduação,Sim,Ciências Humanas,Masculino,Não,Homosexual,"De quatro a dez salários mínimos (R$ 4.400,01 a R$ 11.000,00).",Branco / Caucasiano,Não penso muito sobre isso,Socialista,Esquerda,Ultraesquerda,PR,Londrina 
2021/11/10 8:59:04 AM GMT-5,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Tão confortáveis quanto os alunos em geral,Tão confortáveis quanto os alunos em geral,Tão confortáveis quanto os alunos em geral,Tão confortáveis quanto os alunos em geral,Tão confortáveis quanto os alunos em geral,Menos confortáveis que os alunos em geral,Tão confortáveis quanto os alunos em geral,Tão confortáveis quanto os alunos em geral,Tão confortáveis quanto os alunos em geral,Menos confortáveis que os alunos em geral,Tão confortáveis quanto os alunos em geral,Menos confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Tão confortáveis quanto os alunos em geral,,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Não sei responder,Não sei responder,Não sei responder,5. Sempre,19.0,Superior - meio da graduação,Não sei,Ciências Humanas,Feminino,Não,Bisexual,Prefiro não responder.,Branco / Caucasiano,Espiritualidade não-religiosa,Prefiro não responder,Esquerda,Esquerda,PR,Londrina
2021/11/10 9:01:49 AM GMT-5,Relutante,Moderadamente preocupado,Nem um pouco preocupado,Moderadamente preocupado,Nem um pouco preocupado,Moderadamente preocupado,Nem um pouco preocupado,Moderadamente preocupado,Moderadamente preocupado,,Relutante,Um pouco preocupado,Nem um pouco preocupado,Moderadamente preocupado,Nem um pouco preocupado,Moderadamente preocupado,Nem um pouco preocupado,Moderadamente preocupado,Moderadamente preocupado,,Relutante,Muito preocupado,Nem um pouco preocupado,Muito preocupado,Nem um pouco preocupado,Muito preocupado,Nem um pouco preocupado,Muito preocupado,Muito preocupado,,Relutante,Muito preocupado,Nem um pouco preocupado,Muito preocupado,Nem um pouco preocupado,Muito preocupado,Nem um pouco preocupado,Muito preocupado,Muito preocupado,,Relutante,Muito preocupado,Um pouco preocupado,Muito preocupado,Muito preocupado,Muito preocupado,Muito preocupado,Moderadamente preocupado,Moderadamente preocupado,,Relutante,Moderadamente preocupado,Moderadamente preocupado,Moderadamente preocupado,Moderadamente preocupado,Moderadamente preocupado,Moderadamente preocupado,Moderadamente preocupado,Moderadamente preocupado,,Relutante,Um pouco preocupado,Um pouco preocupado,Um pouco preocupado,Um pouco preocupado,Um pouco preocupado,Um pouco preocupado,Um pouco preocupado,Um pouco preocupado,,Menos confortáveis que os alunos em geral,Mais confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Mais confortáveis que os alunos em geral,Mais confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Mais confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Mais confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Mais confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,,Mais ou menos uma vez por mês,Mais ou menos uma vez por mês,Mais ou menos uma vez por mês,Mais ou menos uma vez por mês,Poucas vezes por ano,Mais ou menos uma vez por mês,Maioria à direita,Maioria à direita,Maioria à direita,2. Raramente,22.0,Superior - meio da graduação,Não sei,Ciências da Saúde,Feminino,Não,Bisexual,"De dois a quatro salários mínimos (R$  2.200,01 a R$ 4.400,00).",Preto / Negro,Prefiro não responder,Socialista,Esquerda,Esquerda,PR,Londrina
2021/11/10 9:10:30 AM GMT-5,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Tão confortáveis quanto os alunos em geral,Tão confortáveis quanto os alunos em geral,Mais confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Mais confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Tão confortáveis quanto os alunos em geral,Mais confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Tão confortáveis quanto os alunos em geral,Mais confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Mais confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,,Nunca,Nunca,"Uma vez por ano, ou menos",Nunca,Nunca,Nunca,Maioria à esquerda,Maioria à esquerda,Maioria à direita,3. Ocasionalmente,28.0,Superior - meio da graduação,Sim,Ciências Humanas,Feminino,Não,Heterosexual,"De dez a vinte salários mínimos (R$ 11.000,01 a R$ 22.000,00).",Branco / Caucasiano,Espírita,Libertário/a,Centro-Esquerda,Esquerda,PR,Londrina
2021/11/10 9:32:18 AM GMT-5,Relutante,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Moderadamente preocupado,Moderadamente preocupado,Teriam uma impressão ruim com base em minha opinião ou ponto de vista sobre política  ,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Relutante,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Não tenho uma opinião bem formada ou aprofundada por ser um assunto complicado e acredito que poderia me expressar mal em um debate sobre determinado assunto,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Não sei responder,Tão confortáveis quanto os alunos em geral,Tão confortáveis quanto os alunos em geral,Tão confortáveis quanto os alunos em geral,Não sei responder,Não sei responder,Tão confortáveis quanto os alunos em geral,Mais confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Tão confortáveis quanto os alunos em geral,Menos confortáveis que os alunos em geral,Mais confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Não sei responder,Maioria à direita,Maioria à direita,2. Raramente,18.0,Superior - início da graduação (primeiros dois semestres),Não sei,Engenharias,Masculino,Não,Heterosexual,"De quatro a dez salários mínimos (R$ 4.400,01 a R$ 11.000,00).",Pardo / Mestiço,Cristão : Espírita,Libertário/a,Centro-Esquerda,Centro-Direita,PR,Londrina
2021/11/10 9:33:51 AM GMT-5,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Mais confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Mais confortáveis que os alunos em geral,Mais confortáveis que os alunos em geral,Mais confortáveis que os alunos em geral,Mais confortáveis que os alunos em geral,Mais confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Mais confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Mais confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,,Mais ou menos uma vez por mês,Mais ou menos uma vez por mês,Mais ou menos uma vez por mês,Mais ou menos uma vez por mês,Mais ou menos uma vez por mês,Mais ou menos uma vez por mês,Maioria à direita,Maioria à direita,Maioria à direita,4. Frequentemente,50.0,Superior - início da graduação (primeiros dois semestres),Não sei,Ciências Humanas,Feminino,Não,Heterosexual,"De quatro a dez salários mínimos (R$ 4.400,01 a R$ 11.000,00).",Branco / Caucasiano,Cristão: Protestante,Não penso muito sobre isso,Prefiro não responder,Prefiro não responder,PR,Londrina
2021/11/10 9:34:22 AM GMT-5,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Menos confortáveis que os alunos em geral,Mais confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Mais confortáveis que os alunos em geral,Mais confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Tão confortáveis quanto os alunos em geral,Mais confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Mais confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Tão confortáveis quanto os alunos em geral,Menos confortáveis que os alunos em geral,,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Maioria à direita,Não sei responder,Maioria à direita,1. Nunca,41.0,Superior - final da graduação (últimos dois semestres),Não,Ciências da Saúde,Feminino,Não,Heterosexual,"De dez a vinte salários mínimos (R$ 11.000,01 a R$ 22.000,00).",Pardo / Mestiço,Cristão: Protestante,Progressista,Esquerda,Esquerda,PR,Londrina
2021/11/10 9:35:16 AM GMT-5,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Mais confortáveis que os alunos em geral,Mais confortáveis que os alunos em geral,Mais confortáveis que os alunos em geral,Mais confortáveis que os alunos em geral,Mais confortáveis que os alunos em geral,Mais confortáveis que os alunos em geral,Mais confortáveis que os alunos em geral,Mais confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Mais confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Mais confortáveis que os alunos em geral,Mais confortáveis que os alunos em geral,,Nunca,Nunca,Nunca,Poucas vezes por ano,Nunca,Nunca,Maioria tem posições próximas à minha,Maioria tem posições próximas à minha,Não sei responder,5. Sempre,20.0,Superior - início da graduação (primeiros dois semestres),Sim,Ciências Humanas,Feminino,Não,Heterosexual,"Menos de dois salários mínimos (Até R$ 2.200,00).",Branco / Caucasiano,Cristão: Católico,Prefiro não responder,Prefiro não responder,Prefiro não responder,PR,Rolândia 
2021/11/10 9:46:25 AM GMT-5,Relutante,Nem um pouco preocupado,Nem um pouco preocupado,Um pouco preocupado,Nem um pouco preocupado,Moderadamente preocupado,Nem um pouco preocupado,Moderadamente preocupado,Moderadamente preocupado,"Diante do contexto político atual, expressar uma opinião política pode gerar diversos problemas, e não tem como a gente ter certeza se a outra parte tem a mesma maturidade que você para conseguir manter um diálogo sem ofensas. Acho que a minha maior preocupação é se a instituição, junto com todos os profissionais que nela trabalham, teria condições de segurar uma discussão caso um dos participantes rebaixe o nível da conversa. ",Confortável,,,,,,,,,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Relutante,Nem um pouco preocupado,Nem um pouco preocupado,Um pouco preocupado,Nem um pouco preocupado,Moderadamente preocupado,Nem um pouco preocupado,Moderadamente preocupado,Moderadamente preocupado,"A universidade é conhecida por sua ligação com a religião evangélica. Apesar de ser cristã, sou uma pessoa que gosta de escutar, estudar e entender outras religiões por conta do meu próprio entendimento. Se o debate for exclusivamente sobre cristianismo, fico sem qualquer receio em conversar e expor minhas ideias, porém se incluir religiões não cristãs - como umbanda, quimbanda, islamismo - tenho certo receio de reações vindas da própria instituição e de colegas de classe. Os professores que tive até o momento demonstraram ser muito abertos a conhecimentos e debates agregadores, de forma que não pareceram oferecer qualquer dificuldade a um debate sadio sobre o tema.",Relutante,Nem um pouco preocupado,Nem um pouco preocupado,Moderadamente preocupado,Nem um pouco preocupado,Moderadamente preocupado,Moderadamente preocupado,Moderadamente preocupado,Moderadamente preocupado,Ainda estou a muito pouco tempo na universidade para conseguir atestar que é seguro expor opiniões sobre as condutas da instituição em sua administração caso elas sejam negativas. Até o momento não tive nenhum problema com a instituição e sua administração o que me deixa mais tranquila.,Confortável,,,,,,,,,,Menos confortáveis que os alunos em geral,Mais confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Não sei responder,Tão confortáveis quanto os alunos em geral,Menos confortáveis que os alunos em geral,Tão confortáveis quanto os alunos em geral,Tão confortáveis quanto os alunos em geral,Menos confortáveis que os alunos em geral,Tão confortáveis quanto os alunos em geral,Tão confortáveis quanto os alunos em geral,Menos confortáveis que os alunos em geral,Tão confortáveis quanto os alunos em geral,Menos confortáveis que os alunos em geral,,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Não sei responder,Não sei responder,Não sei responder,3. Ocasionalmente,33.0,Superior - início da graduação (primeiros dois semestres),Não sei,Prefiro não responder,Feminino,Não,Heterosexual,"De quatro a dez salários mínimos (R$ 4.400,01 a R$ 11.000,00).",Branco / Caucasiano,Prefiro não responder,Prefiro não responder,Prefiro não responder,Prefiro não responder,PR,Londrina
2021/11/10 9:51:51 AM GMT-5,Confortável,,,,,,,,,,Relutante,Nem um pouco preocupado,Nem um pouco preocupado,Um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,,Relutante,Um pouco preocupado,Nem um pouco preocupado,Moderadamente preocupado,Nem um pouco preocupado,Um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,,Relutante,Nem um pouco preocupado,Nem um pouco preocupado,Moderadamente preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,,Relutante,Moderadamente preocupado,Moderadamente preocupado,Moderadamente preocupado,Moderadamente preocupado,Um pouco preocupado,Um pouco preocupado,Um pouco preocupado,Um pouco preocupado,,Confortável,,,,,,,,,,Relutante,Um pouco preocupado,Nem um pouco preocupado,Moderadamente preocupado,Nem um pouco preocupado,Um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,,Menos confortáveis que os alunos em geral,Mais confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Mais confortáveis que os alunos em geral,Mais confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Mais confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Mais confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Mais confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Maioria à esquerda,Maioria à direita,Maioria à direita,3. Ocasionalmente,19.0,Superior - início da graduação (primeiros dois semestres),Não sei,Ciências Humanas,Feminino,Não,Pansexual ,"De dois a quatro salários mínimos (R$  2.200,01 a R$ 4.400,00).",Preto / Negro,Não penso muito sobre isso,Socialista,Esquerda,Esquerda,PR,Londrina
2021/11/10 9:58:30 AM GMT-5,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Relutante,Muito preocupado,Um pouco preocupado,Nem um pouco preocupado,Um pouco preocupado,Nem um pouco preocupado,Moderadamente preocupado,Nem um pouco preocupado,Muito preocupado,,Confortável,,,,,,,,,,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,,"Uma vez por ano, ou menos",Nunca,Nunca,"Uma vez por ano, ou menos","Uma vez por ano, ou menos","Uma vez por ano, ou menos",Não sei responder,Não sei responder,Não sei responder,4. Frequentemente,20.0,Superior - meio da graduação,Sim,Ciências Humanas,Masculino,Não,Heterosexual,"De dois a quatro salários mínimos (R$  2.200,01 a R$ 4.400,00).",Amarelo / Oriental,Cristão: Católico,Não penso muito sobre isso,Apolítico / Não penso muito sobre isso,Apolítico / Não penso muito sobre isso,PR,Ibiporã 
2021/11/10 10:04:07 AM GMT-5,Relutante,Um pouco preocupado,Nem um pouco preocupado,Um pouco preocupado,Muito preocupado,Moderadamente preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Um pouco preocupado,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Relutante,Um pouco preocupado,Nem um pouco preocupado,Um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Um pouco preocupado,Um pouco preocupado,Um pouco preocupado,,Relutante,Moderadamente preocupado,Moderadamente preocupado,Muito preocupado,Um pouco preocupado,Um pouco preocupado,Moderadamente preocupado,Um pouco preocupado,Um pouco preocupado,,Tão confortáveis quanto os alunos em geral,Mais confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Mais confortáveis que os alunos em geral,Tão confortáveis quanto os alunos em geral,Tão confortáveis quanto os alunos em geral,Tão confortáveis quanto os alunos em geral,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,,Nunca,Nunca,Poucas vezes por ano,Nunca,Nunca,Nunca,Maioria à esquerda,Maioria à esquerda,Maioria à direita,2. Raramente,23.0,Superior - final da graduação (últimos dois semestres),Não sei,Ciências Humanas,Feminino,Não,Heterosexual,Prefiro não responder.,Branco / Caucasiano,Cristão: Católico,Não penso muito sobre isso,Apolítico / Não penso muito sobre isso,Apolítico / Não penso muito sobre isso,PR,Londrina 
2021/11/10 10:19:00 AM GMT-5,Relutante,Um pouco preocupado,Muito preocupado,Muito preocupado,Moderadamente preocupado,Muito preocupado,Moderadamente preocupado,Moderadamente preocupado,Moderadamente preocupado,,Confortável,,,,,,,,,,Relutante,Um pouco preocupado,Moderadamente preocupado,Moderadamente preocupado,Um pouco preocupado,Muito preocupado,Moderadamente preocupado,Um pouco preocupado,Um pouco preocupado,,Relutante,Um pouco preocupado,Moderadamente preocupado,Moderadamente preocupado,Moderadamente preocupado,Moderadamente preocupado,Nem um pouco preocupado,Um pouco preocupado,Um pouco preocupado,,Confortável,,,,,,,,,,Relutante,Nem um pouco preocupado,Moderadamente preocupado,Moderadamente preocupado,Moderadamente preocupado,Moderadamente preocupado,Muito preocupado,Moderadamente preocupado,Moderadamente preocupado,,Confortável,,,,,,,,,,Menos confortáveis que os alunos em geral,Mais confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Tão confortáveis quanto os alunos em geral,Mais confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Mais confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Mais confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Mais confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,,Mais ou menos uma vez por mês,Nunca,Mais ou menos uma vez por mês,Nunca,"Uma vez por ano, ou menos",Nunca,Maioria tem posições próximas à minha,Maioria tem posições próximas à minha,Maioria à direita,2. Raramente,24.0,Pós-Graduação,Sim,Ciências Humanas,Feminino,Não,Bisexual,"De quatro a dez salários mínimos (R$ 4.400,01 a R$ 11.000,00).",Branco / Caucasiano,Ateísta,Socialista,Esquerda,Esquerda,PR,Londrina
2021/11/10 10:21:48 AM GMT-5,Relutante,Nem um pouco preocupado,Moderadamente preocupado,Moderadamente preocupado,Muito preocupado,Um pouco preocupado,Um pouco preocupado,Um pouco preocupado,Muito preocupado,,Relutante,Um pouco preocupado,Moderadamente preocupado,Moderadamente preocupado,Um pouco preocupado,Nem um pouco preocupado,Um pouco preocupado,Um pouco preocupado,Muito preocupado,,Relutante,Um pouco preocupado,Moderadamente preocupado,Moderadamente preocupado,Moderadamente preocupado,Moderadamente preocupado,Um pouco preocupado,Muito preocupado,Muito preocupado,,Relutante,Um pouco preocupado,Moderadamente preocupado,Muito preocupado,Moderadamente preocupado,Muito preocupado,Muito preocupado,Muito preocupado,Muito preocupado,,Relutante,Um pouco preocupado,Muito preocupado,Muito preocupado,Nem um pouco preocupado,Muito preocupado,Muito preocupado,Muito preocupado,Muito preocupado,,Relutante,Muito preocupado,Nem um pouco preocupado,Um pouco preocupado,Um pouco preocupado,Um pouco preocupado,Muito preocupado,Muito preocupado,Muito preocupado,"existem diversas situaçoes em que os alunos não são ouvidos, inclusive agora na pandemia.",Relutante,Muito preocupado,Muito preocupado,Muito preocupado,Um pouco preocupado,Um pouco preocupado,Muito preocupado,Muito preocupado,Muito preocupado,,Menos confortáveis que os alunos em geral,Não sei responder,Menos confortáveis que os alunos em geral,Mais confortáveis que os alunos em geral,Mais confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Mais confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Mais confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Menos confortáveis que os alunos em geral,Bissexuais ; feministas ,Poucas vezes por ano,Nunca,Poucas vezes por ano,"Uma vez por ano, ou menos",Nunca,Nunca,Maioria tem posições próximas à minha,Maioria tem posições próximas à minha,Não sei responder,1. Nunca,23.0,Superior - meio da graduação,Sim,Ciências Humanas,Feminino,Não,Bisexual,Prefiro não responder.,Branco / Caucasiano,Espírita,Liberal,Centro-Direita,Esquerda,PR,Londrina
2021/11/10 10:22:34 AM GMT-5,Relutante,Moderadamente preocupado,Moderadamente preocupado,Moderadamente preocupado,Muito preocupado,Moderadamente preocupado,Muito preocupado,Muito preocupado,Muito preocupado,Não gosto muito de conversar sobre o tema,Relutante,Nem um pouco preocupado,Moderadamente preocupado,Um pouco preocupado,Moderadamente preocupado,Moderadamente preocupado,Moderadamente preocupado,Moderadamente preocupado,Moderadamente preocupado,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Relutante,Nem um pouco preocupado,Um pouco preocupado,Moderadamente preocupado,Moderadamente preocupado,Moderadamente preocupado,Moderadamente preocupado,Moderadamente preocupado,Moderadamente preocupado,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Tão confortáveis quanto os alunos em geral,Tão confortáveis quanto os alunos em geral,Não sei responder,Não sei responder,Tão confortáveis quanto os alunos em geral,Não sei responder,Tão confortáveis quanto os alunos em geral,Tão confortáveis quanto os alunos em geral,Não sei responder,Não sei responder,Tão confortáveis quanto os alunos em geral,Não sei responder,Não sei responder,Não sei responder,,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Não sei responder,Não sei responder,Não sei responder,4. Frequentemente,21.0,Superior - final da graduação (últimos dois semestres),Não sei,Ciências da Saúde,Feminino,Prefiro não responder,Pansexual,"De dois a quatro salários mínimos (R$  2.200,01 a R$ 4.400,00).",Amarelo / Oriental,Não penso muito sobre isso,Não penso muito sobre isso,Apolítico / Não penso muito sobre isso,Apolítico / Não penso muito sobre isso,PR,Assaí
